Age,M,F,SUM,Age,M,F,SUM
less than 1,83,92,175,1,117,114,231
2,145,134,279,3,120,141,261
4,139,150,289,5,156,133,289
6,163,155,318,7,160,171,331
8,178,138,316,9,168,169,337
10,185,170,355,11,191,155,346
12,203,169,372,13,179,191,370
14,223,203,426,15,203,232,435
16,220,221,441,17,200,229,429
18,223,225,448,19,236,269,505
20,238,244,482,21,233,233,466
22,233,337,570,23,271,411,682
24,285,457,742,25,267,407,674
26,269,422,691,27,300,362,662
28,266,303,569,29,274,341,615
30,266,302,568,31,268,327,595
32,246,279,525,33,256,306,562
34,252,303,555,35,259,301,560
36,270,310,580,37,282,307,589
38,293,340,633,39,334,329,663
40,277,330,607,41,259,340,599
42,290,338,628,43,288,354,642
44,276,332,608,45,252,315,567
46,247,278,525,47,253,334,587
48,273,343,616,49,259,333,592
50,285,347,632,51,299,355,654
52,285,335,620,53,276,326,602
54,281,352,633,55,274,346,620
56,282,348,630,57,250,358,608
58,268,331,599,59,274,351,625
60,271,359,630,61,233,315,548
62,243,279,522,63,251,329,580
64,239,272,511,65,214,315,529
66,240,297,537,67,191,291,482
68,204,277,481,69,209,282,491
70,185,266,451,71,165,211,376
72,149,186,335,73,128,154,282
74,105,142,247,75,103,149,252
76,82,118,200,77,92,130,222
78,76,134,210,79,69,97,166
80,74,104,178,81,74,121,195
82,65,93,158,83,67,89,156
84,45,74,119,85,39,82,121
86,45,65,110,87,34,84,118
88,25,55,80,89,22,56,78
90,20,35,55,91,10,24,34
92,13,19,32,93,13,27,40
94,12,14,26,95,6,12,18
96,4,9,13,97,5,8,13
98,3,2,5,99,7,3,10
100,8,8,16,more than 100,16,11,27
