Age,M,F,SUM,Age,M,F,SUM
less than 1,80,78,158,1,126,106,232
2,130,110,240,3,127,128,255
4,120,130,250,5,152,115,267
6,156,139,295,7,175,154,329
8,176,170,346,9,177,211,388
10,310,316,626,11,435,377,812
12,374,324,698,13,254,232,486
14,225,232,457,15,265,224,489
16,224,212,436,17,205,212,417
18,249,256,505,19,320,259,579
20,308,239,547,21,310,257,567
22,380,290,670,23,345,309,654
24,332,347,679,25,286,291,577
26,311,275,586,27,301,308,609
28,259,288,547,29,275,249,524
30,296,242,538,31,299,284,583
32,239,262,501,33,277,273,550
34,300,259,559,35,250,283,533
36,294,272,566,37,258,308,566
38,294,287,581,39,306,336,642
40,297,331,628,41,318,345,663
42,322,348,670,43,341,376,717
44,305,365,670,45,303,394,697
46,298,376,674,47,295,369,664
48,333,370,703,49,312,362,674
50,310,331,641,51,318,342,660
52,327,314,641,53,269,324,593
54,301,333,634,55,286,353,639
56,308,340,648,57,318,341,659
58,352,350,702,59,337,378,715
60,302,366,668,61,293,386,679
62,286,369,655,63,321,391,712
64,292,366,658,65,274,349,623
66,294,339,633,67,276,332,608
68,274,341,615,69,259,304,563
70,255,331,586,71,216,271,487
72,196,260,456,73,155,240,395
74,140,215,355,75,131,191,322
76,154,191,345,77,112,159,271
78,116,163,279,79,125,148,273
80,85,207,292,81,117,169,286
82,90,156,246,83,103,137,240
84,88,118,206,85,72,132,204
86,55,113,168,87,55,101,156
88,43,75,118,89,36,54,90
90,38,45,83,91,24,55,79
92,17,48,65,93,18,34,52
94,13,29,42,95,18,19,37
96,16,13,29,97,6,10,16
98,5,14,19,99,12,7,19
100,11,4,15,more than 100,20,22,42
